Chunk_kibibytes,File_size_MB,Checksum,Checksum_MB/s,Encryption,Encryption_MB/s,Decryption,Decryption_MB/s
1,109.246967,0.660825,165.31905875231718,22.679772,4.816934094399185,26.177234,4.173357926204121
1,109.246967,0.677888,161.1578417083648,22.216051,4.917479123540002,25.565945,4.273144098526379
2,109.246967,0.670579,162.91438741744074,11.429033,9.558723559552238,12.960852,8.428995794412282
4,109.246967,0.692169,157.83279372523182,6.014715,18.16328238328832,6.697443,16.31174270538771
8,109.246967,0.616454,177.21836016961527,3.019628,36.17894886389979,3.485948,31.339241721333764
16,109.246967,0.606191,180.21872149207096,1.794348,60.883935000345524,1.875011,58.264707247050815
32,109.246967,0.620587,176.03811713748433,1.018229,107.29115650801538,1.054801,103.57116366025438
48,109.246967,0.606051,180.26035267658992,0.746958,146.25583633885708,0.800833,136.4166648976753
64,109.246967,0.587465,185.96336292374863,0.606094,180.2475639092286,0.621781,175.70007285523357
80,109.246967,0.581826,187.76570142963706,0.521507,209.483222660482,0.53403,204.57084246203397
96,109.246967,0.588471,185.64545576587463,0.462908,236.00146681414017,0.475072,229.95875783039202
112,109.246967,0.586303,186.33192564254318,0.423375,258.03830410392675,0.438306,249.24816680583885
208,109.246967,0.565356,193.2357081201933,0.307585,355.17651055805715,0.31022,352.1596512152666
304,109.246967,0.572665,190.76941492844858,0.266584,409.80316523122167,0.266514,409.91080018310487
400,109.246967,0.5683,192.2346771071617,0.248216,440.1286258742386,0.24165,452.0875936271467
496,109.246967,0.571319,191.21885846611087,0.230045,474.893899019757,0.228895,477.27983136372575
592,109.246967,0.566309,192.91052587898128,0.220496,495.4600854437269,0.218101,500.9008074240833
688,109.246967,0.567547,192.48972684200604,0.215508,506.92766393822967,0.214492,509.32886541222985
784,109.246967,0.577555,189.1542225415761,0.212584,513.9002323787303,0.208558,523.8205535150894
880,109.246967,0.572544,190.80973165381172,0.214817,508.558293803563,0.205725,531.0339871187265
976,109.246967,0.575134,189.95045850184476,0.239279,456.5673000973759,0.207074,527.574524083178
